table_name,model,track,n,extract,verdict,cert,full,not_extractable,provider_error,verdict_wrong,certificate_invalid,correct,certificate_type,gold_verdict,failure_category,count,percentage,dist_trace_full,eq_witness_full,dist_trace_cert,eq_witness_cert,subtype_gap
overall,gemma2_9b,R0,100,1.0,0.53,0.24,0.24,0,0,47,29,24,,,,,,,,,,
overall,gemma2_9b,R1,100,1.0,0.85,0.0,0.0,0,0,15,85,0,,,,,,,,,,
overall,gemma2_9b,R2,100,0.54,1.0,0.03,0.03,46,0,0,51,3,,,,,,,,,,
overall,llama3.1_8b,R0,100,1.0,0.49,0.2,0.2,0,0,51,29,20,,,,,,,,,,
overall,llama3.1_8b,R1,100,0.09,0.444,0.0,0.0,66,25,5,4,0,,,,,,,,,,
overall,llama3.1_8b,R2,100,0.07,1.0,0.01,0.01,85,8,0,6,1,,,,,,,,,,
overall,mistral-nemo_12b,R0,100,1.0,0.49,0.1,0.1,0,0,51,39,10,,,,,,,,,,
overall,mistral-nemo_12b,R1,100,0.04,1.0,0.0,0.0,96,0,0,4,0,,,,,,,,,,
overall,mistral-nemo_12b,R2,100,0.06,1.0,0.0,0.0,94,0,0,6,0,,,,,,,,,,
overall,qwen2.5-coder_7b,R0,100,1.0,0.49,0.03,0.03,0,0,51,46,3,,,,,,,,,,
overall,qwen2.5-coder_7b,R1,100,0.65,0.985,0.0,0.0,35,0,1,64,0,,,,,,,,,,
overall,qwen2.5-coder_7b,R2,100,0.66,1.0,0.3,0.3,34,0,0,36,30,,,,,,,,,,
by_certificate_type,gemma2_9b,R0,51,1.0,0.078,0.0,0.0,,,,4,,equivalence_witness,,,,,,,,,
by_certificate_type,gemma2_9b,R0,49,1.0,1.0,0.49,0.49,,,,25,,distinguishing_trace,,,,,,,,,
by_certificate_type,gemma2_9b,R1,51,1.0,1.0,0.0,0.0,,,,51,,equivalence_witness,,,,,,,,,
by_certificate_type,gemma2_9b,R1,49,1.0,0.694,0.0,0.0,,,,34,,distinguishing_trace,,,,,,,,,
by_certificate_type,gemma2_9b,R2,51,0.275,1.0,0.0,0.0,,,,14,,equivalence_witness,,,,,,,,,
by_certificate_type,gemma2_9b,R2,49,0.816,1.0,0.061,0.061,,,,37,,distinguishing_trace,,,,,,,,,
by_certificate_type,llama3.1_8b,R0,51,1.0,0.0,0.0,0.0,,,,0,,equivalence_witness,,,,,,,,,
by_certificate_type,llama3.1_8b,R0,49,1.0,1.0,0.408,0.408,,,,29,,distinguishing_trace,,,,,,,,,
by_certificate_type,llama3.1_8b,R1,51,0.098,0.8,0.0,0.0,,,,4,,equivalence_witness,,,,,,,,,
by_certificate_type,llama3.1_8b,R1,49,0.082,0.0,0.0,0.0,,,,0,,distinguishing_trace,,,,,,,,,
by_certificate_type,llama3.1_8b,R2,51,0.137,1.0,0.02,0.02,,,,6,,equivalence_witness,,,,,,,,,
by_certificate_type,llama3.1_8b,R2,49,0.0,0.0,0.0,0.0,,,,0,,distinguishing_trace,,,,,,,,,
by_certificate_type,mistral-nemo_12b,R0,51,1.0,0.0,0.0,0.0,,,,0,,equivalence_witness,,,,,,,,,
by_certificate_type,mistral-nemo_12b,R0,49,1.0,1.0,0.204,0.204,,,,39,,distinguishing_trace,,,,,,,,,
by_certificate_type,mistral-nemo_12b,R1,51,0.02,1.0,0.0,0.0,,,,1,,equivalence_witness,,,,,,,,,
by_certificate_type,mistral-nemo_12b,R1,49,0.061,1.0,0.0,0.0,,,,3,,distinguishing_trace,,,,,,,,,
by_certificate_type,mistral-nemo_12b,R2,51,0.118,1.0,0.0,0.0,,,,6,,equivalence_witness,,,,,,,,,
by_certificate_type,mistral-nemo_12b,R2,49,0.0,0.0,0.0,0.0,,,,0,,distinguishing_trace,,,,,,,,,
by_certificate_type,qwen2.5-coder_7b,R0,51,1.0,0.0,0.0,0.0,,,,0,,equivalence_witness,,,,,,,,,
by_certificate_type,qwen2.5-coder_7b,R0,49,1.0,1.0,0.061,0.061,,,,46,,distinguishing_trace,,,,,,,,,
by_certificate_type,qwen2.5-coder_7b,R1,51,0.314,0.938,0.0,0.0,,,,15,,equivalence_witness,,,,,,,,,
by_certificate_type,qwen2.5-coder_7b,R1,49,1.0,1.0,0.0,0.0,,,,49,,distinguishing_trace,,,,,,,,,
by_certificate_type,qwen2.5-coder_7b,R2,51,0.373,1.0,0.0,0.0,,,,19,,equivalence_witness,,,,,,,,,
by_certificate_type,qwen2.5-coder_7b,R2,49,0.959,1.0,0.612,0.612,,,,17,,distinguishing_trace,,,,,,,,,
by_gold_verdict,gemma2_9b,R0,51,1.0,0.078,0.0,0.0,,,,4,,,equivalent,,,,,,,,
by_gold_verdict,gemma2_9b,R0,49,1.0,1.0,0.49,0.49,,,,25,,,non_equivalent,,,,,,,,
by_gold_verdict,gemma2_9b,R1,51,1.0,1.0,0.0,0.0,,,,51,,,equivalent,,,,,,,,
by_gold_verdict,gemma2_9b,R1,49,1.0,0.694,0.0,0.0,,,,34,,,non_equivalent,,,,,,,,
by_gold_verdict,gemma2_9b,R2,51,0.275,1.0,0.0,0.0,,,,14,,,equivalent,,,,,,,,
by_gold_verdict,gemma2_9b,R2,49,0.816,1.0,0.061,0.061,,,,37,,,non_equivalent,,,,,,,,
by_gold_verdict,llama3.1_8b,R0,51,1.0,0.0,0.0,0.0,,,,0,,,equivalent,,,,,,,,
by_gold_verdict,llama3.1_8b,R0,49,1.0,1.0,0.408,0.408,,,,29,,,non_equivalent,,,,,,,,
by_gold_verdict,llama3.1_8b,R1,51,0.098,0.8,0.0,0.0,,,,4,,,equivalent,,,,,,,,
by_gold_verdict,llama3.1_8b,R1,49,0.082,0.0,0.0,0.0,,,,0,,,non_equivalent,,,,,,,,
by_gold_verdict,llama3.1_8b,R2,51,0.137,1.0,0.02,0.02,,,,6,,,equivalent,,,,,,,,
by_gold_verdict,llama3.1_8b,R2,49,0.0,0.0,0.0,0.0,,,,0,,,non_equivalent,,,,,,,,
by_gold_verdict,mistral-nemo_12b,R0,51,1.0,0.0,0.0,0.0,,,,0,,,equivalent,,,,,,,,
by_gold_verdict,mistral-nemo_12b,R0,49,1.0,1.0,0.204,0.204,,,,39,,,non_equivalent,,,,,,,,
by_gold_verdict,mistral-nemo_12b,R1,51,0.02,1.0,0.0,0.0,,,,1,,,equivalent,,,,,,,,
by_gold_verdict,mistral-nemo_12b,R1,49,0.061,1.0,0.0,0.0,,,,3,,,non_equivalent,,,,,,,,
by_gold_verdict,mistral-nemo_12b,R2,51,0.118,1.0,0.0,0.0,,,,6,,,equivalent,,,,,,,,
by_gold_verdict,mistral-nemo_12b,R2,49,0.0,0.0,0.0,0.0,,,,0,,,non_equivalent,,,,,,,,
by_gold_verdict,qwen2.5-coder_7b,R0,51,1.0,0.0,0.0,0.0,,,,0,,,equivalent,,,,,,,,
by_gold_verdict,qwen2.5-coder_7b,R0,49,1.0,1.0,0.061,0.061,,,,46,,,non_equivalent,,,,,,,,
by_gold_verdict,qwen2.5-coder_7b,R1,51,0.314,0.938,0.0,0.0,,,,15,,,equivalent,,,,,,,,
by_gold_verdict,qwen2.5-coder_7b,R1,49,1.0,1.0,0.0,0.0,,,,49,,,non_equivalent,,,,,,,,
by_gold_verdict,qwen2.5-coder_7b,R2,51,0.373,1.0,0.0,0.0,,,,19,,,equivalent,,,,,,,,
by_gold_verdict,qwen2.5-coder_7b,R2,49,0.959,1.0,0.612,0.612,,,,17,,,non_equivalent,,,,,,,,
failure_taxonomy,gemma2_9b,R0,,,,,,,,,,,equivalence_witness,,acceptance_mismatch,4,1.0,,,,,
failure_taxonomy,gemma2_9b,R0,,,,,,,,,,,distinguishing_trace,,acceptance_mismatch,25,1.0,,,,,
failure_taxonomy,gemma2_9b,R1,,,,,,,,,,,equivalence_witness,,equivalence_hash_mismatch,51,1.0,,,,,
failure_taxonomy,gemma2_9b,R1,,,,,,,,,,,distinguishing_trace,,acceptance_mismatch,34,1.0,,,,,
failure_taxonomy,gemma2_9b,R2,,,,,,,,,,,equivalence_witness,,equivalence_hash_mismatch,14,1.0,,,,,
failure_taxonomy,gemma2_9b,R2,,,,,,,,,,,distinguishing_trace,,acceptance_mismatch,37,1.0,,,,,
failure_taxonomy,llama3.1_8b,R0,,,,,,,,,,,distinguishing_trace,,acceptance_mismatch,25,0.862,,,,,
failure_taxonomy,llama3.1_8b,R0,,,,,,,,,,,distinguishing_trace,,replay_failure,4,0.138,,,,,
failure_taxonomy,llama3.1_8b,R1,,,,,,,,,,,equivalence_witness,,equivalence_hash_mismatch,4,1.0,,,,,
failure_taxonomy,llama3.1_8b,R2,,,,,,,,,,,equivalence_witness,,equivalence_hash_mismatch,6,1.0,,,,,
failure_taxonomy,mistral-nemo_12b,R0,,,,,,,,,,,distinguishing_trace,,acceptance_mismatch,39,1.0,,,,,
failure_taxonomy,mistral-nemo_12b,R1,,,,,,,,,,,equivalence_witness,,equivalence_hash_mismatch,1,1.0,,,,,
failure_taxonomy,mistral-nemo_12b,R1,,,,,,,,,,,distinguishing_trace,,acceptance_mismatch,3,1.0,,,,,
failure_taxonomy,mistral-nemo_12b,R2,,,,,,,,,,,equivalence_witness,,equivalence_hash_mismatch,6,1.0,,,,,
